Year,Days.with.AQI,Good.Days,Moderate.Days,Unhealthy.for.Sensitive.Groups.Days,Unhealthy.Days,Very.Unhealthy.Days,Hazardous.Days,Max.AQI,X90th.Percentile.AQI,Median.AQI,Days.CO,Days.NO2,Days.Ozone,Days.PM2.5,Days.PM10
2000,340.5,295,29.5,1.5,0,0,0,106,55,22.5,63.5,0,0,51.5,50.5
2001,344,307,28,1,0,0,0,146,49,26,114,0,0,81,49
2002,293.5,230.5,30.5,2,0,0,0,112.5,54,25,20,0,0,72.5,34.5
2003,340,286,29.5,2.5,0,0,0,116.5,51,23,57.5,0,0,60.5,44
2004,333,264,50,1.5,0,0,0,124.5,57,28,21.5,0,0,188.5,18
2005,362,286.5,59,4.5,0.5,0,0,142,59.5,28,0.5,0,0,223.5,13
2006,363,272,67,4,0,0,0,149,64,31,0,0,0,296,7
2007,365,252,55,2,0,0,0,119,60,30,0,0,0,295,1
2008,356,300,54,0,0,0,0,99,57,29,0,0,0,305,0
2009,361,285,37,1,0,0,0,140,51,27,0,0,0,292,4
2010,365,326,38,1,0,0,0,127,52,25,0,0,0,348,1
2011,363,323,39,1,0,0,0,102,52,23,0,0,0,290,0
2012,364,310,46,0,1,0,0,155,53,23,0,0,0,305,0
2013,361,284,50,3,0,0,0,156,57,23,0,0,0,286,30
2014,365,314.5,41,0.5,1,0,0,155,50.5,25,0,0,0,219.5,70.5
2015,363,292,55,8,2,0,0,170,59,30,0,0,0,249,7
2016,366,325,39,2,0,0,0,117,51,31,0,0,0,346,4
2017,365,260,78,9,4,0,0,164,71,34,0,0,0,288,18
2018,365,291,60,6,2,0,0,151,65,32,0,0,0,290,6
2019,365,303,54,0,0,0,0,92,55,32,0,0,0,274,2
2020,365,302,52,3,3,0,4,465,58,33,0,0,0,327,1
2021,365,300,56,6,3,0,0,166,61,35,0,0,0,317,6
2022,181,160,24,0,0,0,0,91,53,29,0,0,0,146,2
2023,181,159,19,0,0,0,0,87,52,30,0,0,0,158,6
