Variety,Yield,Year,State,Source,outlier
TOTAL UNITED STATES,1871,2000,United States,HGA 22.pdf,FALSE
TOTAL UNITED STATES,1861,2001,United States,HGA 21.pdf,FALSE
TOTAL UNITED STATES,1990,2002,United States,HGA 20.pdf,FALSE
TOTAL UNITED STATES,1903,2003,United States,HGA 19.pdf,FALSE
TOTAL UNITED STATES,1990,2004,United States,HGA 18.pdf,FALSE
TOTAL UNITED STATES,1796,2005,United States,NASS,FALSE
TOTAL UNITED STATES,1964,2006,United States,HGA 16.pdf,FALSE
TOTAL UNITED STATES,1949,2007,United States,HGA 15.pdf,FALSE
TOTAL UNITED STATES,1971,2008,United States,HGA 14.pdf,FALSE
TOTAL UNITED STATES,2383,2009,United States,HGA 13.pdf,TRUE
TOTAL UNITED STATES,2093,2010,United States,HGA 12.pdf,FALSE
TOTAL UNITED STATES,2175,2011,United States,HGA 11.pdf,TRUE
TOTAL UNITED STATES,1985,2012,United States,NASS,FALSE
TOTAL UNITED STATES,1962,2013,United States,NASS,FALSE
TOTAL UNITED STATES,1868,2014,United States,HGA 6.pdf,FALSE
TOTAL UNITED STATES,1807,2015,United States,HGA,FALSE
TOTAL UNITED STATES,1713,2016,United States,HGA,FALSE
TOTAL UNITED STATES,1956,2017,United States,NASS,FALSE
TOTAL UNITED STATES,1943,2018,United States,HGA,FALSE
TOTAL UNITED STATES,1981,2019,United States,HGA,FALSE
TOTAL UNITED STATES,1770,2020,United States,HGA,FALSE
TOTAL UNITED STATES,1900,2021,United States,HGA,FALSE
TOTAL UNITED STATES,1694,2022,United States,HGA,TRUE
TOTAL UNITED STATES,1915,2023,United States,NASS,FALSE
TOTAL UNITED STATES,1944,2024,United States,NASS,FALSE
